,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
0,Senate,01/03/2022,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/1/3/daily-digest
1,House,01/03/2022,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/1/3/daily-digest
2,Senate,01/04/2022,,,,INPUT BY HAND,.),https://www.congress.gov/congressional-record/2022/1/4/daily-digest
3,House,01/04/2022,,,,INPUT BY HAND,.),https://www.congress.gov/congressional-record/2022/1/4/daily-digest
4,Senate,01/05/2022,,,,NS,The House was not in session today. The House is scheduled to meet in Pro Forma session at 12 p.m. on Thursday January 6 2022.,https://www.congress.gov/congressional-record/2022/1/5/daily-digest
5,House,01/05/2022,,,,NS,The House was not in session today. The House is scheduled to meet in Pro Forma session at 12 p.m. on Thursday January 6 2022.No hearings were held. ,https://www.congress.gov/congressional-record/2022/1/5/daily-digest
6,Senate,01/06/2022,1900-01-01 10:30:00,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/1/6/daily-digest
7,House,01/06/2022,12:00PM,12:09PM,9.0,pf,Adjournment:  The House met at 12 p.m. and adjourned at 12:09 p.m.  ,https://www.congress.gov/congressional-record/2022/1/6/daily-digest
8,Senate,01/07/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 6:30 p.m. on Monday January 10 2022.,https://www.congress.gov/congressional-record/2022/1/7/daily-digest
9,House,01/07/2022,,,,NS,The House was not in session today. The House is scheduled to meet at 6:30 p.m. on Monday January 10 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/1/7/daily-digest
10,Senate,01/10/2022,20:05PM,20:05PM,0.0,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/1/10/daily-digest
11,House,01/10/2022,18:30PM,19:12PM,42.0,pf,Adjournment: The House met at 6:30 p.m. and adjourned at 7:12 p.m. pursuant to ,https://www.congress.gov/congressional-record/2022/1/10/daily-digest
12,Senate,01/11/2022,20:32PM,20:32PM,0.0,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/1/11/daily-digest
13,House,01/11/2022,10:00AM,16:23PM,383.0,x,Adjournment: The House met at 10 a.m. and adjourned at 4:23 p.m. ,https://www.congress.gov/congressional-record/2022/1/11/daily-digest
14,Senate,01/12/2022,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/1/12/daily-digest
15,House,01/12/2022,12:00PM,23:37PM,697.0,x,Adjournment: The House met at 12 p.m. and adjourned at 11:37 p.m.   ,https://www.congress.gov/congressional-record/2022/1/12/daily-digest
16,Senate,01/13/2022,10:00AM,21:52PM,712.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 9:52 p.m. until 11:20 a.m. on Friday January 14 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/1/13/daily-digest
17,House,01/13/2022,09:00AM,14:29PM,329.0,x,Adjournment: The House met at 9 a.m. and adjourned at 2:29 p.m. ,https://www.congress.gov/congressional-record/2022/1/13/daily-digest
18,Senate,01/14/2022,,,,pf,The Senate met at 11:20:01 a.m. in pro forma session and adjourned at 11:20:39 a.m. until 12 noon on Tuesday January 18 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/1/14/daily-digest
19,House,01/14/2022,11:00AM,11:05AM,5.0,pf,Adjournment:  The House met at 11 a.m. and adjourned at 11:05 a.m. ,https://www.congress.gov/congressional-record/2022/1/14/daily-digest
20,Senate,01/18/2022,,1900-01-01 22:01:00,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/1/18/daily-digest
21,House,01/18/2022,12:00PM,20:21PM,501.0,x,Adjournment: The House met at 12 p.m. and adjourned at 8:21 p.m. ,https://www.congress.gov/congressional-record/2022/1/18/daily-digest
22,Senate,01/19/2022,10:00AM,22:51PM,771.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 10:51 p.m. until 11 a.m. on Thursday January 20 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/1/19/daily-digest
23,House,01/19/2022,10:00AM,16:02PM,362.0,x,Adjournment: The House met at 10 a.m. and adjourned at 4:02 p.m. ,https://www.congress.gov/congressional-record/2022/1/19/daily-digest
24,Senate,01/20/2022,11:00AM,16:39PM,339.0,x,Adjournment: Senate convened at 11 a.m. and adjourned at 4:39 p.m. until 1 p.m. on Monday January 24 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/1/20/daily-digest
25,House,01/20/2022,09:00AM,14:14PM,314.0,x,Adjournment: The House met at 9 a.m. and adjourned at 2:14 p.m.   ,https://www.congress.gov/congressional-record/2022/1/20/daily-digest
26,Senate,01/21/2022,,,,NS,The Senate was not in session and stands adjourned until 1 p.m. on Monday January 24 2022.––––––No committee meetings were held.,https://www.congress.gov/congressional-record/2022/1/21/daily-digest
27,House,01/21/2022,09:00AM,09:03AM,3.0,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:03 a.m.   ,https://www.congress.gov/congressional-record/2022/1/21/daily-digest
28,Senate,01/24/2022,,,,pf,The Senate met at 1:00:29 p.m. in pro forma session and adjourned at 1:01:04 p.m. until 10 a.m. on Thursday January 27 2022.––––––No committee meetings were held.,https://www.congress.gov/congressional-record/2022/1/24/daily-digest
29,House,01/24/2022,,,,NS,The House was not in session today. The House is scheduled to meet in Pro Forma session at 10 a.m. on Tuesday January 25 2022.No hearings were held.  ,https://www.congress.gov/congressional-record/2022/1/24/daily-digest
30,Senate,01/25/2022,,,,NS,The Senate was not in session and stands adjourned until 10 a.m. on Thursday January 27 2022.––––––No committee meetings were held.,https://www.congress.gov/congressional-record/2022/1/25/daily-digest
31,House,01/25/2022,10:00AM,10:03AM,3.0,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:03 a.m. ,https://www.congress.gov/congressional-record/2022/1/25/daily-digest
32,Senate,01/27/2022,,,,pf,The Senate met at 10:00:05 a.m. in pro forma session and adjourned at 10:00:10 a.m. until 3 p.m. on Monday January 31 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/1/27/daily-digest
33,House,01/27/2022,,,,NS,The House was not in session today. The House is scheduled to meet in Pro Forma session at 9 a.m. on Friday January 28 2022. No hearings were held.,https://www.congress.gov/congressional-record/2022/1/27/daily-digest
34,Senate,01/28/2022,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Monday January 31 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/1/28/daily-digest
35,House,01/28/2022,09:00AM,09:03AM,3.0,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:03 a.m.   ,https://www.congress.gov/congressional-record/2022/1/28/daily-digest
