,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
0,Senate,01/03/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/1/3/daily-digest
1,House,01/03/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/1/3/daily-digest
2,Senate,01/04/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/1/4/daily-digest
3,House,01/04/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/1/4/daily-digest
4,Senate,01/05/2023,,,,NS,The Senate was not in session and stands adjourned until 1:05 p.m. on Friday January 6 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/1/5/daily-digest
5,House,01/05/2023,,1900-01-01 20:07:00,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/1/5/daily-digest
6,Senate,01/06/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/1/6/daily-digest
7,House,01/06/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/1/6/daily-digest
8,Senate,01/09/2023,,,,NS,The Senate was not in session and stands in recess until 10 a.m. on Tuesday January 10 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/1/9/daily-digest
9,House,01/09/2023,17:00PM,21:40PM,280.0,x,Adjournment:  The House met at 5 p.m. and adjourned at 9:40 p.m. ,https://www.congress.gov/congressional-record/2023/1/9/daily-digest
10,Senate,01/10/2023,,,,pf,The Senate met at 10 a.m. in pro forma session and recessed at 10:00:31 a.m. until 1:30 p.m. on Friday January 13 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/1/10/daily-digest
11,House,01/10/2023,10:00AM,16:50PM,410.0,x,Adjournment:  The House met at 10 a.m. and adjourned at 4:50 p.m. ,https://www.congress.gov/congressional-record/2023/1/10/daily-digest
12,Senate,01/11/2023,,,,NS,The Senate was not in session and stands in recess until 1:30 p.m. on Friday January 13 2023.––––––No committee meetings were held.,https://www.congress.gov/congressional-record/2023/1/11/daily-digest
