,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
0,Senate,01/18/2022,,1900-01-01 22:01:00,,,Adjournment:  Senate convened at 12 noon and recessed at 10:01 p.m. until 10 a.m. on Wednesday January 19 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on  page  S276 .)  Adjournment:  The House met at 12 p.m. and adjourned at 8:21 p.m. ,https://www.congress.gov/congressional-record/2022/1/18/daily-digest
1,House,01/18/2022,1900-01-01 12:00:00,1900-01-01 20:21:00,501.0,x,Adjournment:  The House met at 12 p.m. and adjourned at 8:21 p.m. ,https://www.congress.gov/congressional-record/2022/1/18/daily-digest
2,Senate,01/19/2022,1900-01-01 10:00:00,1900-01-01 22:51:00,771.0,x,Adjournment:  Senate convened at 10 a.m. and adjourned at 10:51 p.m. until 11 a.m. on Thursday January 20 2022. (For Senates program see the remarks of the Majority Leader in todays Record on  page  S354 .)  Adjournment:  The House met at 10 a.m. and adjourned at 4:02 p.m. ,https://www.congress.gov/congressional-record/2022/1/19/daily-digest
3,House,01/19/2022,1900-01-01 10:00:00,1900-01-01 16:02:00,362.0,x,Adjournment:  The House met at 10 a.m. and adjourned at 4:02 p.m. ,https://www.congress.gov/congressional-record/2022/1/19/daily-digest
4,Senate,01/20/2022,1900-01-01 11:00:00,1900-01-01 16:39:00,339.0,x,Adjournment:  Senate convened at 11 a.m. and adjourned at 4:39 p.m. until 1 p.m. on Monday January 24 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on  page  S387 .)  Adjournment:  The House met at 9 a.m. and adjourned at 2:14 p.m.   ,https://www.congress.gov/congressional-record/2022/1/20/daily-digest
5,House,01/20/2022,1900-01-01 09:00:00,1900-01-01 14:14:00,314.0,x,Adjournment:  The House met at 9 a.m. and adjourned at 2:14 p.m.   ,https://www.congress.gov/congressional-record/2022/1/20/daily-digest
6,Senate,01/21/2022,,,,,Adjournment:  The House met at 9 a.m. and adjourned at 9:03 a.m.   ,https://www.congress.gov/congressional-record/2022/1/21/daily-digest
7,House,01/21/2022,1900-01-01 09:00:00,1900-01-01 09:03:00,3.0,pf,Adjournment:  The House met at 9 a.m. and adjourned at 9:03 a.m.   ,https://www.congress.gov/congressional-record/2022/1/21/daily-digest
8,Senate,01/24/2022,,,,,,https://www.congress.gov/congressional-record/2022/1/24/daily-digest
9,House,01/24/2022,,,,,,https://www.congress.gov/congressional-record/2022/1/24/daily-digest
10,Senate,01/25/2022,,,,,Adjournment:  The House met at 10 a.m. and adjourned at 10:03 a.m. ,https://www.congress.gov/congressional-record/2022/1/25/daily-digest
11,House,01/25/2022,1900-01-01 10:00:00,1900-01-01 10:03:00,3.0,pf,Adjournment:  The House met at 10 a.m. and adjourned at 10:03 a.m. ,https://www.congress.gov/congressional-record/2022/1/25/daily-digest
12,Senate,01/27/2022,,,,,,https://www.congress.gov/congressional-record/2022/1/27/daily-digest
13,House,01/27/2022,,,,,,https://www.congress.gov/congressional-record/2022/1/27/daily-digest
14,Senate,01/28/2022,,,,,Adjournment:  The House met at 9 a.m. and adjourned at 9:03 a.m.   ,https://www.congress.gov/congressional-record/2022/1/28/daily-digest
15,House,01/28/2022,1900-01-01 09:00:00,1900-01-01 09:03:00,3.0,pf,Adjournment:  The House met at 9 a.m. and adjourned at 9:03 a.m.   ,https://www.congress.gov/congressional-record/2022/1/28/daily-digest
16,Senate,01/31/2022,1900-01-01 15:00:00,1900-01-01 18:49:00,229.0,x,Adjournment:  Senate convened at 3 p.m. and adjourned at 6:49 p.m. until 10 a.m. on Tuesday February 1 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on  page  S416 .) ,https://www.congress.gov/congressional-record/2022/1/31/daily-digest
17,House,01/31/2022,,,,,,https://www.congress.gov/congressional-record/2022/1/31/daily-digest
18,Senate,02/01/2022,1900-01-01 10:00:00,1900-01-01 20:59:00,659.0,x,Adjournment:  Senate convened at 10 a.m. and adjourned at 8:59 p.m. until 10 a.m. on Wednesday February 2 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on  page  S462 .)  Adjournment:  The House met at 2 p.m. and adjourned at 7:39 p.m. ,https://www.congress.gov/congressional-record/2022/2/1/daily-digest
19,House,02/01/2022,1900-01-01 14:00:00,1900-01-01 19:39:00,339.0,x,Adjournment:  The House met at 2 p.m. and adjourned at 7:39 p.m. ,https://www.congress.gov/congressional-record/2022/2/1/daily-digest
20,Senate,02/02/2022,1900-01-01 10:00:00,1900-01-01 21:32:00,692.0,x,Adjournment:  Senate convened at 10 a.m. and adjourned at 9:32 p.m. until 10 a.m. on Thursday February 3 2022. (For Senates program see the remarks of the Majority Leader in todays Record on  page  S498 .) Adjournment:  The House met at 10 a.m. and adjourned at  8:07p.m.   ,https://www.congress.gov/congressional-record/2022/2/2/daily-digest
21,House,02/02/2022,1900-01-01 10:00:00,,,,Adjournment:  The House met at 10 a.m. and adjourned at  8:07p.m.   ,https://www.congress.gov/congressional-record/2022/2/2/daily-digest
22,Senate,02/03/2022,1900-01-01 16:41:00,1900-01-01 16:41:00,0.0,INPUT BY HAND,,https://www.congress.gov/congressional-record/2022/2/3/daily-digest
23,House,02/03/2022,1900-01-01 12:00:00,1900-01-01 19:42:00,462.0,x,Adjournment:  The House met at 12 p.m. and adjourned at 7:42 p.m.   ,https://www.congress.gov/congressional-record/2022/2/3/daily-digest
24,Senate,02/04/2022,,,,,Adjournment:  The House met at 9 a.m. and adjourned at 1:09 p.m.      ,https://www.congress.gov/congressional-record/2022/2/4/daily-digest
25,House,02/04/2022,1900-01-01 09:00:00,1900-01-01 13:09:00,249.0,x,Adjournment:  The House met at 9 a.m. and adjourned at 1:09 p.m.      ,https://www.congress.gov/congressional-record/2022/2/4/daily-digest
26,Senate,02/07/2022,,,,,Adjournment:  The House met at 12 p.m. and adjourned at 9:52 p.m.  ,https://www.congress.gov/congressional-record/2022/2/7/daily-digest
27,House,02/07/2022,1900-01-01 12:00:00,1900-01-01 21:52:00,592.0,x,Adjournment:  The House met at 12 p.m. and adjourned at 9:52 p.m.  ,https://www.congress.gov/congressional-record/2022/2/7/daily-digest
28,Senate,02/08/2022,1900-01-01 10:00:00,1900-01-01 18:57:00,537.0,x,Adjournment:  Senate convened at 10 a.m. and adjourned at 6:57 p.m. until 10 a.m. on Wednesday February 9 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on  page  S578 .)  Adjournment:  The House met at 10 a.m. and adjourned at 8:19 p.m.   ,https://www.congress.gov/congressional-record/2022/2/8/daily-digest
29,House,02/08/2022,1900-01-01 10:00:00,1900-01-01 20:19:00,619.0,x,Adjournment:  The House met at 10 a.m. and adjourned at 8:19 p.m.   ,https://www.congress.gov/congressional-record/2022/2/8/daily-digest
30,Senate,02/09/2022,1900-01-01 10:00:00,1900-01-01 19:56:00,596.0,x,Adjournment:  Senate convened at 10 a.m. and adjourned at 7:56 p.m. until 10 a.m. on Thursday February 10 2022. (For Senates program see the remarks of the Majority Leader in todays Record on  page  S616 .)  Adjournment:   The House met at 9 a.m. and adjourned at 3:39 p.m.   ,https://www.congress.gov/congressional-record/2022/2/9/daily-digest
31,House,02/09/2022,1900-01-01 09:00:00,1900-01-01 15:39:00,399.0,x,Adjournment:   The House met at 9 a.m. and adjourned at 3:39 p.m.   ,https://www.congress.gov/congressional-record/2022/2/9/daily-digest
32,Senate,02/10/2022,1900-01-01 10:00:00,1900-01-01 15:31:00,331.0,x,Adjournment:  Senate convened at 10 a.m. and adjourned at 3:31 p.m. until 3 p.m. on Monday February 14 2022. (For Senates program see the remarks of the Acting Majority Leader in todays Record on  page  S651 .),https://www.congress.gov/congressional-record/2022/2/10/daily-digest
33,House,02/10/2022,,,,,,https://www.congress.gov/congressional-record/2022/2/10/daily-digest
34,Senate,02/11/2022,,,,,Adjournment:  The House met at 11 a.m. and adjourned at 11:06 a.m.  ,https://www.congress.gov/congressional-record/2022/2/11/daily-digest
35,House,02/11/2022,1900-01-01 11:00:00,1900-01-01 11:06:00,6.0,pf,Adjournment:  The House met at 11 a.m. and adjourned at 11:06 a.m.  ,https://www.congress.gov/congressional-record/2022/2/11/daily-digest
36,Senate,02/14/2022,1900-01-01 15:00:00,1900-01-01 19:53:00,293.0,x,Adjournment:  Senate convened at 3 p.m. and adjourned at 7:53 p.m. until 10 a.m. on Tuesday February 15 2022. (For Senates program see the remarks of the Majority Leader in todays Record on  page  S677 .) ,https://www.congress.gov/congressional-record/2022/2/14/daily-digest
37,House,02/14/2022,,,,,,https://www.congress.gov/congressional-record/2022/2/14/daily-digest
38,Senate,02/15/2022,1900-01-01 10:00:00,1900-01-01 18:16:00,496.0,x,Adjournment:  Senate convened at 10 a.m. and adjourned at 6:16 p.m. until 10 a.m. on Wednesday February 16 2022. (For Senates program see the remarks of the Majority Leader in todays Record on  page  S723 .)  Adjournment:  The House met at 10 a.m. and adjourned at 10:03 a.m. ,https://www.congress.gov/congressional-record/2022/2/15/daily-digest
39,House,02/15/2022,1900-01-01 10:00:00,1900-01-01 10:03:00,3.0,pf,Adjournment:  The House met at 10 a.m. and adjourned at 10:03 a.m. ,https://www.congress.gov/congressional-record/2022/2/15/daily-digest
