Congress,S.Amdt.No,Amends,Sponsor,Latest Action,url,Latest Action Date,Sponsor Party,Outcome,Action Type
118th Congress (2023-2024),S.Amdt.3289,H.R.9468,"Paul, Rand [Sen.-R-KY]","Amendment SA 3289, under the order of 9/19/24, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 47 - 47. Record Vote Number: 247. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/3289?s=1&r=1,09/19/24,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1829,H.R.7888,"Paul, Rand [Sen.-R-KY]","Amendment SA 1829, under the order of 4/19/2024, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 31 - 61. Record Vote Number: 144. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/1829?s=1&r=2,04/19/24,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1841,H.R.7888,"Durbin, Richard J. [Sen.-D-IL]","Amendment SA 1841, as modified, not agreed to in Senate by Yea-Nay Vote. 42 - 50. Record Vote Number: 148. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/1841?s=1&r=3,04/19/24,D,NA,RCV
118th Congress (2023-2024),S.Amdt.1834,H.R.7888,"Marshall, Roger [Sen.-R-KS]",Amendment SA 1834 not agreed to in Senate by Yea-Nay Vote. 17 - 75. Record Vote Number: 145. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1834?s=1&r=4,04/19/24,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1840,H.R.7888,"Lee, Mike [Sen.-R-UT]",Amendment SA 1840 not agreed to in Senate by Yea-Nay Vote. 40 - 53. Record Vote Number: 149. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1840?s=1&r=5,04/19/24,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1828,H.R.7888,"Paul, Rand [Sen.-R-KY]","Amendment SA 1828, under the order of 4/19/2024, not having achieved 60 votes in the affirmative, was not agreed to in Senate by Yea-Nay Vote. 11 - 81. Record Vote Number: 147. (All Actions)",congress.gov/amendment/118th-congress/senate-amendment/1828?s=1&r=6,04/19/24,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1820,H.R.7888,"Wyden, Ron [Sen.-D-OR]",Amendment SA 1820 not agreed to in Senate by Yea-Nay Vote. 34 - 58. Record Vote Number: 146. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1820?s=1&r=7,04/19/24,D,NA,RCV
118th Congress (2023-2024),S.Amdt.1713,H.R.2882,"Lankford, James [Sen.-R-OK]",Amendment SA 1713 not agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1713?s=1&r=8,03/23/24,R,NA,VV
118th Congress (2023-2024),S.Amdt.1718,H.R.2882,"Lankford, James [Sen.-R-OK]",Amendment SA 1718 not agreed to in Senate by Voice Vote. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1718?s=1&r=9,03/23/24,R,NA,VV
118th Congress (2023-2024),S.Amdt.1795,H.R.2882,"Schmitt, Eric [Sen.-R-MO]",Amendment SA 1795 not agreed to in Senate by Yea-Nay Vote. 47 - 51. Record Vote Number: 109. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1795?s=1&r=10,03/23/24,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1722,H.R.2882,"Lee, Mike [Sen.-R-UT]",Amendment SA 1722 not agreed to in Senate by Yea-Nay Vote. 45 - 51. Record Vote Number: 105. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1722?s=1&r=11,03/23/24,R,NA,RCV
118th Congress (2023-2024),S.Amdt.1634,H.R.4366,"Hagerty, Bill [Sen.-R-TN]",Amendment SA 1634 not agreed to in Senate by Yea-Nay Vote. 45 - 51. Record Vote Number: 83. (All Actions),congress.gov/amendment/118th-congress/senate-amendment/1634?s=1&r=12,03/08/24,R,NA,RCV
