House or Senate,Date,Time Convened,Time Adjourned,Time in Session (minutes),"Working Day? (x = working day, pf = pro forma, NS = not in session)",Scraped adjournment string,url,Time in Session,Working Day?
Senate,1/3/22,12:03,12:17,0:14,pf,,https://www.congress.gov/congressional-record/2022/1/3/daily-digest,,
House,1/3/22,12:00,12:03,0:03,pf,,https://www.congress.gov/congressional-record/2022/1/3/daily-digest,,
Senate,1/4/22,10:00,16:56,6:56,x,,https://www.congress.gov/congressional-record/2022/1/4/daily-digest,,
House,1/4/22,,,0:00,NS,,https://www.congress.gov/congressional-record/2022/1/4/daily-digest,,
Senate,1/5/22,,,0:00,NS,The House was not in session today. The House is scheduled to meet in Pro Forma session at 12 p.m. on Thursday January 6 2022.,https://www.congress.gov/congressional-record/2022/1/5/daily-digest,,
House,1/5/22,,,0:00,NS,The House was not in session today. The House is scheduled to meet in Pro Forma session at 12 p.m. on Thursday January 6 2022.No hearings were held. ,https://www.congress.gov/congressional-record/2022/1/5/daily-digest,,
Senate,1/6/22,10:30,15:10,4:40,x,,https://www.congress.gov/congressional-record/2022/1/6/daily-digest,,
House,1/6/22,12:00PM,12:09PM,9,pf,Adjournment:  The House met at 12 p.m. and adjourned at 12:09 p.m.  ,https://www.congress.gov/congressional-record/2022/1/6/daily-digest,,
Senate,1/7/22,,,,NS,The House was not in session today. The House is scheduled to meet at 6:30 p.m. on Monday January 10 2022.,https://www.congress.gov/congressional-record/2022/1/7/daily-digest,,
House,1/7/22,,,,NS,The House was not in session today. The House is scheduled to meet at 6:30 p.m. on Monday January 10 2022.No hearings were held.,https://www.congress.gov/congressional-record/2022/1/7/daily-digest,,
Senate,1/10/22,15:00,20:05,5:05,x,,https://www.congress.gov/congressional-record/2022/1/10/daily-digest,,
House,1/10/22,18:30PM,19:12PM,42,pf,Adjournment: The House met at 6:30 p.m. and adjourned at 7:12 p.m. pursuant to ,https://www.congress.gov/congressional-record/2022/1/10/daily-digest,,
Senate,1/11/22,11:00,20:32,9:32,x,,https://www.congress.gov/congressional-record/2022/1/11/daily-digest,,
House,1/11/22,10:00AM,16:23PM,383,x,Adjournment: The House met at 10 a.m. and adjourned at 4:23 p.m. ,https://www.congress.gov/congressional-record/2022/1/11/daily-digest,,
Senate,1/12/22,12:30,19:04,6:34,x,,https://www.congress.gov/congressional-record/2022/1/12/daily-digest,,
House,1/12/22,12:00PM,23:37PM,697,x,Adjournment: The House met at 12 p.m. and adjourned at 11:37 p.m.   ,https://www.congress.gov/congressional-record/2022/1/12/daily-digest,,
Senate,1/13/22,10:00AM,21:52PM,712,x,Adjournment: Senate convened at 10 a.m. and adjourned at 9:52 p.m. until 11:20 a.m. on Friday January 14 2022. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2022/1/13/daily-digest,,
House,1/13/22,09:00AM,14:29PM,329,x,Adjournment: The House met at 9 a.m. and adjourned at 2:29 p.m. ,https://www.congress.gov/congressional-record/2022/1/13/daily-digest,,
Senate,1/14/22,,,,pf,The Senate met at 11:20:01 a.m. in pro forma session and adjourned at 11:20:39 a.m. until 12 noon on Tuesday January 18 2022.No committee meetings were held.,https://www.congress.gov/congressional-record/2022/1/14/daily-digest,,
House,1/14/22,11:00AM,11:05AM,5,pf,Adjournment:  The House met at 11 a.m. and adjourned at 11:05 a.m. ,https://www.congress.gov/congressional-record/2022/1/14/daily-digest,,
Senate,1/18/22,12:00,22:01,10:01,x,,https://www.congress.gov/congressional-record/2022/1/18/daily-digest,,
House,1/18/22,12:00PM,20:21PM,501,x,Adjournment: The House met at 12 p.m. and adjourned at 8:21 p.m. ,https://www.congress.gov/congressional-record/2022/1/18/daily-digest,,
