,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
0,Senate,10/1/24,,,,pf,The Senate met at 10:01:17 a.m. in pro forma session and adjourned at 10:01:50 a.m. until 10 a.m. on Friday October 4 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/10/1/daily-digest
1,House,10/1/24,11:00AM,11:02AM,2,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:02 a.m.,https://www.congress.gov/congressional-record/2024/10/1/daily-digest
2,Senate,10/4/24,,,,pf,The Senate met at 10:00:02 a.m. in pro forma session and adjourned at 10:00:32 a.m. until 2:30 p.m. on Tuesday October 8 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/10/4/daily-digest
3,House,10/4/24,15:30PM,15:32PM,2,pf,Adjournment: The House met at 3:30 p.m. and adjourned at 3:32 p.m.,https://www.congress.gov/congressional-record/2024/10/4/daily-digest
4,Senate,10/8/24,,,,pf,The Senate met at 2:30:01 p.m. in pro forma session and adjourned at 2:30:36 p.m. until 8:30 a.m. on Friday October 11 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/10/8/daily-digest
5,House,10/8/24,09:00AM,09:03AM,3,pf,Adjournment: The House met at 9 a.m. and adjourned at 9:03 a.m.,https://www.congress.gov/congressional-record/2024/10/8/daily-digest
6,Senate,10/11/24,,,,pf,The Senate met at 8:35:58 a.m. in pro forma session and adjourned at 8:36:28 a.m. until 1:30 p.m. on Tuesday October 15 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/10/11/daily-digest
7,House,10/11/24,13:00PM,13:02PM,2,pf,Adjournment: The House met at 1 p.m. and adjourned at 1:02 p.m.,https://www.congress.gov/congressional-record/2024/10/11/daily-digest
8,Senate,10/15/24,,,,pf,The Senate met at 1:30:01 p.m. in pro forma session and adjourned at 1:30:40 p.m. until 10 a.m. on Friday October 18 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/10/15/daily-digest
9,House,10/15/24,10:00AM,10:03AM,3,pf,Adjournment: The House met at 10 a.m. and adjourned at 10:03 a.m.,https://www.congress.gov/congressional-record/2024/10/15/daily-digest
