,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
0,Senate,01/02/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/2/daily-digest
1,House,01/02/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/2/daily-digest
2,Senate,01/03/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/3/daily-digest
3,House,01/03/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/3/daily-digest
4,Senate,01/05/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/5/daily-digest
5,House,01/05/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/5/daily-digest
6,Senate,01/08/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/8/daily-digest
7,House,01/08/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/8/daily-digest
8,Senate,01/09/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/9/daily-digest
9,House,01/09/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/9/daily-digest
10,Senate,01/10/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/10/daily-digest
11,House,01/10/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/10/daily-digest
12,Senate,01/11/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/11/daily-digest
13,House,01/11/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/11/daily-digest
14,Senate,01/12/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/12/daily-digest
15,House,01/12/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/12/daily-digest
16,Senate,01/16/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/16/daily-digest
17,House,01/16/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/16/daily-digest
18,Senate,01/17/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/17/daily-digest
19,House,01/17/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/17/daily-digest
20,Senate,01/18/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/18/daily-digest
21,House,01/18/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/18/daily-digest
22,Senate,01/22/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/22/daily-digest
23,House,01/22/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/22/daily-digest
24,Senate,01/23/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/23/daily-digest
25,House,01/23/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/23/daily-digest
26,Senate,01/24/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/24/daily-digest
27,House,01/24/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/24/daily-digest
28,Senate,01/25/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/25/daily-digest
29,House,01/25/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/25/daily-digest
30,Senate,01/26/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/26/daily-digest
31,House,01/26/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/26/daily-digest
32,Senate,01/29/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/29/daily-digest
33,House,01/29/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/29/daily-digest
34,Senate,01/30/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/30/daily-digest
35,House,01/30/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/30/daily-digest
36,Senate,01/31/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/31/daily-digest
37,House,01/31/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/1/31/daily-digest
38,Senate,02/01/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/1/daily-digest
39,House,02/01/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/1/daily-digest
40,Senate,02/05/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/5/daily-digest
41,House,02/05/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/5/daily-digest
42,Senate,02/06/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/6/daily-digest
43,House,02/06/2024,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2024/2/6/daily-digest
